Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1709128800000,2024-02-28 14:00:00.000000,ETHUSD,3356.05,3367.68,3321.42,3358.33,82254223.65
1709132400000,2024-02-28 15:00:00.000000,ETHUSD,3358.33,3377.19,3337.26,3350.4,64577429.27
1709136000000,2024-02-28 16:00:00.000000,ETHUSD,3350.4,3430.12,3349.58,3426.82,136018845.79
1709139600000,2024-02-28 17:00:00.000000,ETHUSD,3426.82,3490.66,3194.42,3345.16,396402954.83
1709143200000,2024-02-28 18:00:00.000000,ETHUSD,3345.16,3361.5,3207.21,3320.09,188584480.96
1709146800000,2024-02-28 19:00:00.000000,ETHUSD,3320.09,3332.74,3279.45,3300.17,69539427.17
1709150400000,2024-02-28 20:00:00.000000,ETHUSD,3300.17,3303.26,3256.47,3298.75,66104623.14
1709154000000,2024-02-28 21:00:00.000000,ETHUSD,3298.75,3328.92,3275.23,3323.55,37482393.07
1709157600000,2024-02-28 22:00:00.000000,ETHUSD,3323.55,3346.39,3320.93,3341.62,25615037.18
1709161200000,2024-02-28 23:00:00.000000,ETHUSD,3341.62,3387.59,3340.87,3386.34,33034275.52
1709164800000,2024-02-29 00:00:00.000000,ETHUSD,3386.34,3467.86,3378.21,3450.13,80302596.17
1709168400000,2024-02-29 01:00:00.000000,ETHUSD,3450.13,3451.31,3411.61,3418.79,46395423.48
1709172000000,2024-02-29 02:00:00.000000,ETHUSD,3418.79,3429.33,3394.91,3404.45,41340851.29
1709175600000,2024-02-29 03:00:00.000000,ETHUSD,3404.45,3418.64,3393.67,3408.37,25269180.57
1709179200000,2024-02-29 04:00:00.000000,ETHUSD,3408.37,3455.01,3399.62,3446.85,41012608.86
1709182800000,2024-02-29 05:00:00.000000,ETHUSD,3446.85,3473.95,3430.9,3468.37,43371700.98
1709186400000,2024-02-29 06:00:00.000000,ETHUSD,3468.37,3493.89,3465.83,3480.52,47423517.91
1709190000000,2024-02-29 07:00:00.000000,ETHUSD,3480.52,3480.87,3449.8,3468.75,29889110.72
1709193600000,2024-02-29 08:00:00.000000,ETHUSD,3468.75,3500.43,3458.55,3478.91,53071122.31
1709197200000,2024-02-29 09:00:00.000000,ETHUSD,3478.91,3491.36,3443.7,3463.25,35157686.75
1709200800000,2024-02-29 10:00:00.000000,ETHUSD,3463.25,3478.25,3444.73,3472.75,27725699.4
1709204400000,2024-02-29 11:00:00.000000,ETHUSD,3472.75,3520.76,3466.27,3513.84,59630050.28
1709208000000,2024-02-29 12:00:00.000000,ETHUSD,3513.84,3517.0,3450.02,3465.15,68566128.42
1709211600000,2024-02-29 13:00:00.000000,ETHUSD,3465.15,3491.31,3447.58,3479.15,68887843.43
1709215200000,2024-02-29 14:00:00.000000,ETHUSD,3479.15,3498.84,3453.72,3470.84,71834475.07
1709218800000,2024-02-29 15:00:00.000000,ETHUSD,3470.84,3487.05,3458.39,3469.59,59165464.35
1709222400000,2024-02-29 16:00:00.000000,ETHUSD,3469.59,3471.86,3397.79,3441.46,74136905.03
1709226000000,2024-02-29 17:00:00.000000,ETHUSD,3441.46,3451.96,3353.7,3383.67,119445437.12
1709229600000,2024-02-29 18:00:00.000000,ETHUSD,3383.67,3410.76,3351.0,3369.17,94507647.49
1709233200000,2024-02-29 19:00:00.000000,ETHUSD,3369.17,3405.0,3358.55,3404.13,55380262.53
1709236800000,2024-02-29 20:00:00.000000,ETHUSD,3404.13,3416.6,3395.81,3395.82,49738907.11
1709240400000,2024-02-29 21:00:00.000000,ETHUSD,3395.82,3398.7,3314.27,3350.47,82155400.39
1709244000000,2024-02-29 22:00:00.000000,ETHUSD,3350.47,3358.33,3303.6,3324.31,55497921.99
1709247600000,2024-02-29 23:00:00.000000,ETHUSD,3324.31,3360.16,3321.86,3342.24,38088663.78
